명칭,지번주소,도로명주소,X좌표(GRS80TM),Y좌표(GRS80TM),위도X좌표(WGS84),경도Y좌표(WGS84),역사_ID,호선,총 면적,구분,주소(혼재)
어린이대공원,,,207108.865,449977.62,127.0809212,37.5498987,,,,,서울특별시 광진구 능동로 216(어린이대공원)
천호근린공원,,,211094.883,449373.595,127.1263451,37.5444741,,,,,서울특별시 강동구 올림픽로 702(천호공원)
용산가족공원,,,198680.6,446756.9,126.983335,37.522226,,,,,서울특별시 용산구 서빙고로 185
독립근린공원,,,196318.22,452589.144,126.956771,37.5738289,,,,,서울특별시 서대문구 통일로251(독립공원)
낙산근린공원,,,200631.301,453432.556,127.007587,37.580477,,,,,서울특별시 종로구 낙산길 41 (우) 03085
양재시민의숲,,,203226.694,441171.435,127.035042,37.471225,,,,,서울특별시 서초구 매헌로 99 (양재동)
관악산도시자연공원,,,196801.464,438408.982,126.96413,37.445208,,,,,서울특별시 관악구 관악로 1(관악산공원)
효창근린공원,,,196484.925,449520.541,126.95993,37.545234,,,,,서울특별시 용산구 효창원로 177-18
감로천생태공원(관악산),,,191868.836,440976.325,126.9079509,37.469625,,,,,서울특별시 금천구 독산4동 371?375 373일대
개운산근린공원,,,202301.921,455244.032,127.0252858,37.5965837,,,,,서울특별시 성북구 북악산로 949-73(돈암동 6-1)
개웅산근린공원,,,186361.511,443134.517,126.8485734,37.4888943,,,,,서울특별시 구로구 오류동 산13-1
경희궁,,,197240.742,452357.669,126.9685341,37.570773,,,,,서울특별시 종로구 새문안로 55(신문로2가 2-1)
국립현충원,,,197554.306,444488.109,126.9736849,37.4998621,,,,,서울특별시 동작구 사당2동 산41-2
계남근린공원,,,186587.03,445953.762,126.8479643,37.5138358,,,,,서울특별시 양천구 신정동 산44-2일대
고척근린공원,,,186938.035,445175.775,126.8521495,37.5042944,,,,,서울특별시 구로구 고척로45길 39(고척공원)
파리근린공원,,,189117.778,448369.561,126.8763932,37.5349739,,,,,서울특별시 양천구 목동동로 363 
허준공원,,,187079.658,452015.939,126.8526745,37.5679874,,,,,서울특별시 강서구 허준로5길 42
궁동근린공원,,,193388.45,452419.784,126.9229851,37.5690506,,,,,서울특별시 서대문구 성산로7길 19-24(궁동공원) 
궁산근린공원,,,185910.698,452700.726,126.838952,37.5735645,,,,,서울특별시 강서구 가양동 산4-7
까치산근린공원,,,196769.945,442784.443,126.9640735,37.4845836,,,,,서울특별시 동작구 사당동 산32
꿩고개근린공원,,,183898.231,453383.899,126.8157075,37.5801585,,,,,서울특별시 강서구 방화동 산110
노량진공원,,,193634.425,445290.39,126.928607,37.510234,,,,,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71)
답십리근린공원,,,205641.232,452702.957,127.0626512,37.5750896,,,,,서울특별시 동대문구 답십리로 209(답십리공원) 
대모산도시자연공원,,,206597.962,442256.152,127.0809639,37.4796489,,,,,서울특별시 강남구 광평로10길 30-71(대모산공원) 
탑골근린공원,,,198967.317,452419.346,126.9882853,37.5710052,,,,,서울특별시 종로구 종로 99
갈산근린공원,,,188397.999,445234.771,126.8689146,37.5082119,,,,,서울특별시 양천구 신정동 162-56
천마근린공원,,,213925.08,444496.729,127.1586644,37.5005173,,,,,서울특별시 송파구 마천동 산 1-1
도곡근린공원,,,203985.777,443426.71,127.0450338,37.4903127,,,,,서울특별시 강남구 도곡동 산31-1
도산근린공원,,,203095.838,447239.077,127.0350296,37.5246752,,,,,서울특별시 강남구 도산대로45길 20(도산공원)
청량공원,,,204528.537,456092.99,127.0511145,37.6020055,,,,,서울특별시 성북구 화랑로18가길 50
초안산근린공원,,,203623.347,461020.286,127.0455446,37.648316,,,,,서울특별시 도봉구 창동 산157
동명근린공원,,,214814.244,451141.586,127.1676703,37.5598341,,,,,서울특별시 강동구 고덕2동 229
마로니에공원,,,200216.931,453456.81,127.0027886,37.5802295,,,,,서울특별시 종로구 대학로8길 1
자매근린공원,,,193868.629,446473.984,126.9302895,37.5177329,,,,,서울특별시 영등포구 의사당대로 166 (우) 07324
장지근린공원,,,211450.664,442556.954,127.1387,37.4957083,,,,,서울특별시 송파구 장지동 산 11번지
명일근린공원,,,214163.875,450353.875,127.1613641,37.5537143,,,,,서울특별시 강동구 상일동 135
방화근린공원,,,183530.797,453596.414,126.8132285,37.5819812,,,,,서울특별시 강서구 금낭화로 176(방화공원)
아시아근린공원,,,206765.916,445654.014,127.0762885,37.5102779,,,,,서울특별시 송파구 올림픽로 44 (잠실동)
배봉산근린공원,,,205798.8,453616.894,127.0641623,37.5812324,,,,,서울특별시 동대문구 한천로43길 12-14(배봉산공원) 
안산도시자연공원,,,194575.097,453339.773,126.9390273,37.5798246,,,,,서울특별시 서대문구 홍제동 산33-98
염창근린공원,,,188333.589,451001.141,126.8689817,37.5579702,,,,,서울특별시 강서구 염창동 산24-1
백련근린공원,,,193717.226,454793.495,126.928616,37.5879662,,,,,서울특별시 서대문구 통일로 507-22(백련공원) 
