이름,위도,경도,좌표정보(X),좌표정보(Y),속성
개운초등학교 운동장,37.601791,127.027927,,,지진옥외대피소
개운중학교 운동장,37.594966,127.024885,,,지진옥외대피소
성신여자중학교 운동장,37.594567,127.023493,,,지진옥외대피소
고명중학교 운동장,37.597974,127.019989,,,지진옥외대피소
우촌초등학교 운동장,37.595625,127.011739,,,지진옥외대피소
원묵고등학교운동장,37.615519,127.086353,,,지진옥외대피소
태릉고등학교 운동장,37.618721,127.085161,,,지진옥외대피소
영등포초등학교 운동장,37.512783,126.898365,,,지진옥외대피소
양화중학교 운동장,37.519289,126.896349,,,지진옥외대피소
문래초등학교 운동장,37.518918,126.893372,,,지진옥외대피소
문래공원,37.517668,126.894406,,,지진옥외대피소
안양천 영롱이 인라인 마당,37.51762,126.88054,,,지진옥외대피소
구암고등학교 운동장,37.492222,126.950748,,,지진옥외대피소
봉현초등학교 운동장,37.490754,126.954594,,,지진옥외대피소
동작초등학교 운동장,37.49405,126.976881,,,지진옥외대피소
삼일초등학교 운동장,37.487986,126.974788,,,지진옥외대피소
사당중학교 운동장,37.487406,126.968789,,,지진옥외대피소
상도중학교 운동장,37.490276,126.961828,,,지진옥외대피소
대림초등학교운동장,37.500569,126.926168,,,지진옥외대피소
영등포고등학교 운동장,37.507989,126.933834,,,지진옥외대피소
서울공업고등학교 운동장,37.500877,126.922149,,,지진옥외대피소
영등포중학교 운동장,37.508125,126.932861,,,지진옥외대피소
대방공원,37.507173,126.927186,,,지진옥외대피소
강남중학교 운동장,37.502405,126.922537,,,지진옥외대피소
대동초등학교 운동장,37.49328,126.900105,,,지진옥외대피소
원지어린이공원,37.498104,126.899557,,,지진옥외대피소
신우어린이공원,37.503165,126.899246,,,지진옥외대피소
영림초등학교 운동장,37.487166,126.902924,,,지진옥외대피소
신영초등학교 운동장,37.50035,126.896069,,,지진옥외대피소
대림중학교 운동장,37.492143,126.907639,,,지진옥외대피소
도신초등학교 운동장,37.49861,126.90076,,,지진옥외대피소
대림어린이공원,37.491299,126.903299,,,지진옥외대피소
대림 체육시설,37.499767,126.894704,,,지진옥외대피소
다사랑어린이공원,37.49279,126.899428,,,지진옥외대피소
동심어린이공원,37.498362,126.897334,,,지진옥외대피소
두암어린이공원,37.495501,126.897371,,,지진옥외대피소
신대림초등학교 운동장,37.491751,126.905685,,,지진옥외대피소
한양공업고등학교 운동장,37.565612,127.011767,,,지진옥외대피소
장충초등학교 운동장,37.559574,127.011148,,,지진옥외대피소
광희초등학교 운동장,37.56719,127.015146,,,지진옥외대피소
성동고등학교 운동장,37.563782,127.022446,,,지진옥외대피소
성동공업고등학교 운동장,37.568781,127.01649,,,지진옥외대피소
덕수초등학교 운동장,37.568912,126.974799,,,지진옥외대피소
창덕여자중학교 운동장,37.566564,126.969599,,,지진옥외대피소
서울의료보건고등학교(경기여자상업고등학교) 운동장,37.556975,126.966743,,,지진옥외대피소
내수2근린공원,37.572366,126.971602,,,지진옥외대피소
운현초등학교 운동장,37.575747,126.988372,,,지진옥외대피소
교동초등학교 운동장,37.57473,126.987661,,,지진옥외대피소
탑골공원,37.571317,126.988292,,,지진옥외대피소
