정비구역명칭,위도,경도,속성,지번주소
공릉동 240-169번지 일대 주택재건축정비구역,,,재건축,서울특별시 노원구 공릉2동 240-169
상계주공5단지 재건축정비사업,,,재건축,서울특별시 노원구 상계동 721-0
,,,재건축,서울특별시 노원구 월계동 100
상계4재정비촉진구역 재개발사업,37.6644080074,127.0749692754,재개발(주택정비형),서울특별시 노원구 상계동 85-33
상계1재정비촉진구역,37.6748237183,127.0823658130,재개발(주택정비형),서울특별시 노원구 상계동 6-42
상계5재정비촉진구역,37.6680904757,127.0783263796,재개발(주택정비형),서울특별시 노원구 상계동 109-43
상계6재정비촉진구역,37.6650742151,127.0775817425,재개발(주택정비형),서울특별시 노원구 상계동 95-3
월계제4 주택재개발정비구역,,,재개발(주택정비형),서울특별시 노원구 월계동 672
상계2재정비촉진구역 주택재개발 정비사업,,,재개발(주택정비형),서울특별시 노원구 상계동 자력2구역 17블럭 1롯트
은평구 신사동 19-190번지 일대 주택재건축 정비구역,,,재건축,서울특별시 은평구 신사동 19-190
역촌1구역 주택재건축정비사업조합,,,재건축,서울특별시 은평구 역촌동189
응암3구역 주택재건축 정비사업,37.5914133588,126.9216611911,재건축,서울특별시 은평구 응암동   626-108
응암동 225-1 주택재건축정비구역,,,재건축,서울특별시 은평구 응암동 225-1
신사1구역 주택재건축정비사업조합,37.5911762283,126.9073159914,재건축,서울특별시 은평구 신사동 170-12
연희빌라주택재건축정비사업,37.6169524997,126.9063289427,재건축,서울특별시 은평구 구산동   307-1
불광1주택재건축정비사업,37.6203909871,126.9325265257,재건축,서울특별시 은평구 불광동 19-3
불광제3구역주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 은평구 불광동 17 
응암제1구역 주택재개발정비사업구역,,,재개발(주택정비형),서울특별시 은평구 응암동 8
불광5주택재개발정비구역,,,재개발(주택정비형),서울특별시 은평구 불광동 238
응암제3주택재개발구역,,,재개발(주택정비형),서울특별시 은평구 응암동 171-0
불광제7구역주택재개발정비구역,,,재개발(주택정비형),서울특별시 은평구 불광동 292
대조제1구역 주택재개발정비사업조합,37.6120533990,126.9233402549,재개발(주택정비형),서울특별시 은평구 대조동 88
녹번제1구역제2지구 주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 은평구 녹번동 19
녹번제1구역3지구 주택재개발정비사업,,,재개발(주택정비형),서울특별시 은평구 녹번동 4
갈현 제1주택재개발 정비사업,,,재개발(주택정비형),서울특별시 은평구 갈현동 300 
응암제11구역주택재개발정비구역,,,재개발(주택정비형),서울특별시 은평구 응암동 455-0
수색4재정비촉진구역,37.5841183384,126.8936177239,재개발(주택정비형),서울특별시 은평구 수색동   361-10
수색9재정비촉진구역주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 은평구 수색동 30 
수색6재정비촉진구역주택재개발정비사업조합,37.5836504510,126.8952860466,재개발(주택정비형),서울특별시 은평구 수색동 115-5
