명칭,지번주소,도로명주소,GRS80TM_X,GRS80TM_Y,latitude,longitude,Station_ID,Station_line,Area,구분(보류),주소(혼재)
궁동근린공원,,,193388.45,452419.784,37.5690506,126.9229851,,,126026㎡ ,공원,서울특별시 서대문구 성산로7길 19-24(궁동공원) 
궁산근린공원,,,185910.698,452700.726,37.5735645,126.838952,,,135002.7㎡ ,공원,서울특별시 강서구 가양동 산4-7
까치산근린공원,,,196769.945,442784.443,37.4845836,126.9640735,,,384026㎡ ,공원,서울특별시 동작구 사당동 산32
꿩고개근린공원,,,183898.231,453383.899,37.5801585,126.8157075,,,180000㎥,공원,서울특별시 강서구 방화동 산110
노량진공원,,,193634.425,445290.39,37.510234,126.928607,,,416031㎡ ,공원,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71)
답십리근린공원,,,205641.232,452702.957,37.5750896,127.0626512,,,160720㎡,공원,서울특별시 동대문구 답십리로 209(답십리공원) 
대모산도시자연공원,,,206597.962,442256.152,37.4796489,127.0809639,,,2277252㎡ ,공원,서울특별시 강남구 광평로10길 30-71(대모산공원) 
탑골근린공원,,,198967.317,452419.346,37.5710052,126.9882853,,,19599.70㎥ ,공원,서울특별시 종로구 종로 99
갈산근린공원,,,188397.999,445234.771,37.5082119,126.8689146,,,138596㎡ ,공원,서울특별시 양천구 신정동 162-56
천마근린공원,,,213925.08,444496.729,37.5005173,127.1586644,,,185295㎥ ,공원,서울특별시 송파구 마천동 산 1-1
도곡근린공원,,,203985.777,443426.71,37.4903127,127.0450338,,,254648㎡,공원,서울특별시 강남구 도곡동 산31-1
도산근린공원,,,203095.838,447239.077,37.5246752,127.0350296,,,29816.5㎡ ,공원,서울특별시 강남구 도산대로45길 20(도산공원)
청량공원,,,204528.537,456092.99,37.6020055,127.0511145,,,762642㎡ ,공원,서울특별시 성북구 화랑로18가길 50
초안산근린공원,,,203623.347,461020.286,37.648316,127.0455446,,,664905㎡ ,공원,서울특별시 도봉구 창동 산157
동명근린공원,,,214814.244,451141.586,37.5598341,127.1676703,,,99599.9㎡ ,공원,서울특별시 강동구 고덕2동 229
마로니에공원,,,200216.931,453456.81,37.5802295,127.0027886,,,5802㎡ ,공원,서울특별시 종로구 대학로8길 1
자매근린공원,,,193868.629,446473.984,37.5177329,126.9302895,,,총 16500㎥ ,공원,서울특별시 영등포구 의사당대로 166 (우) 07324
장지근린공원,,,211450.664,442556.954,37.4957083,127.1387,,,585652㎥ ,공원,서울특별시 송파구 장지동 산 11번지
명일근린공원,,,214163.875,450353.875,37.5537143,127.1613641,,,649709.6㎡ ,공원,서울특별시 강동구 상일동 135
방화근린공원,,,183530.797,453596.414,37.5819812,126.8132285,,,72132㎡,공원,서울특별시 강서구 금낭화로 176(방화공원)
